国际,#genre#
parse=1
BBC NEWS,https://m.345iptv.com/?act=play&tid=tv&id=94


香港,#genre#
parse=1
凤凰资讯,https://m.345iptv.com/?act=play&tid=tv&id=21
凤凰中文,https://m.345iptv.com/?act=play&tid=tv&id=20
凤凰香港,https://m.345iptv.com/?act=play&tid=tv&id=22
TVB无线新闻,https://m.345iptv.com/?act=play&tid=tv&id=25
TVB明珠,https://m.345iptv.com/?act=play&tid=tv&id=27
TVB翡翠,https://m.345iptv.com/?act=play&tid=tv&id=24
TVB Plus,https://m.345iptv.com/?act=play&tid=tv&id=26
HOY76,https://m.345iptv.com/?act=play&tid=tv&id=41
HOY77,https://m.345iptv.com/?act=play&tid=tv&id=43
HOY78,https://m.345iptv.com/?act=play&tid=tv&id=42
HOY78,https://m.345iptv.com/?act=play&tid=tv&id=29
NOW财经,https://m.345iptv.com/?act=play&tid=tv&id=37
NOW新闻,https://m.345iptv.com/?act=play&tid=tv&id=36
NOW直播,https://m.345iptv.com/?act=play&tid=tv&id=35
RTHK31,https://m.345iptv.com/?act=play&tid=tv&id=45
RTHK32,https://m.345iptv.com/?act=play&tid=tv&id=46
ViuTV,https://m.345iptv.com/?act=play&tid=tv&id=38
ViuTV6,https://m.345iptv.com/?act=play&tid=tv&id=39
香港有线18,https://m.345iptv.com/?act=play&tid=tv&id=31
香港有线18,https://m.345iptv.com/?act=play&tid=tv&id=30

台湾,#genre#
parse=1
TVBS,https://m.345iptv.com/?act=play&tid=tv&id=65
寰宇新闻,https://m.345iptv.com/?act=play&tid=tv&id=59
中视新闻,https://m.345iptv.com/?act=play&tid=tv&id=52
中天新闻,https://m.345iptv.com/?act=play&tid=tv&id=49
TVBS新闻,https://m.345iptv.com/?act=play&tid=tv&id=63
东森新闻,https://m.345iptv.com/?act=play&tid=tv&id=50
东森财经新闻,https://m.345iptv.com/?act=play&tid=tv&id=51
非凡新闻,https://m.345iptv.com/?act=play&tid=tv&id=62
华视新闻,https://m.345iptv.com/?act=play&tid=tv&id=57
寰宇新闻台湾,https://m.345iptv.com/?act=play&tid=tv&id=60
镜电视新闻,https://m.345iptv.com/?act=play&tid=tv&id=58
民视新闻,https://m.345iptv.com/?act=play&tid=tv&id=56
三立新闻,https://m.345iptv.com/?act=play&tid=tv&id=54
台视新闻,https://m.345iptv.com/?act=play&tid=tv&id=53
中视,https://m.345iptv.com/?act=play&tid=tv&id=68
台视,https://m.345iptv.com/?act=play&tid=tv&id=69
民视,https://m.345iptv.com/?act=play&tid=tv&id=70
华视,https://m.345iptv.com/?act=play&tid=tv&id=71
纬来日本,https://m.345iptv.com/?act=play&tid=tv&id=78
纬来育乐,https://m.345iptv.com/?act=play&tid=tv&id=79

体育,#genre#
parse=1
DAZN1,https://m.345iptv.com/?act=play&tid=tv&id=80
DAZN2,https://m.345iptv.com/?act=play&tid=tv&id=81
爱尔达体育1,https://m.345iptv.com/?act=play&tid=tv&id=83
爱尔达体育2,https://m.345iptv.com/?act=play&tid=tv&id=84
爱尔达体育3,https://m.345iptv.com/?act=play&tid=tv&id=85
爱尔达体育4,https://m.345iptv.com/?act=play&tid=tv&id=86
纬来体育,https://m.345iptv.com/?act=play&tid=tv&id=77
广东体育,https://m.345iptv.com/?act=play&tid=tv&id=11
五星体育,https://m.345iptv.com/?act=play&tid=tv&id=15

央视,#genre#
parse=1
CCTV1,https://m.345iptv.com/?act=play&tid=tv&id=1
CCTV5,https://m.345iptv.com/?act=play&tid=tv&id=3
CCTV5+,https://m.345iptv.com/?act=play&tid=tv&id=5
CCTV13,https://m.345iptv.com/?act=play&tid=tv&id=7

湖南,#genre#
parse=1
湖南卫视,https://m.345iptv.com/?act=play&tid=tv&id=17
湖南电视剧,https://m.345iptv.com/?act=play&tid=tv&id=105
湖南都市,https://m.345iptv.com/?act=play&tid=tv&id=110
湖南公共,https://m.345iptv.com/?act=play&tid=tv&id=111
湖南国际,https://m.345iptv.com/?act=play&tid=tv&id=104
湖南经视,https://m.345iptv.com/?act=play&tid=tv&id=108
湖南娱乐,https://m.345iptv.com/?act=play&tid=tv&id=109
湖南快乐购,https://m.345iptv.com/?act=play&tid=tv&id=112
长沙新闻,https://m.345iptv.com/?act=play&tid=tv&id=115
长沙女性,https://m.345iptv.com/?act=play&tid=tv&id=114
长沙政法,https://m.345iptv.com/?act=play&tid=tv&id=113
茶频道,https://m.345iptv.com/?act=play&tid=tv&id=100
快乐垂钓,https://m.345iptv.com/?act=play&tid=tv&id=102
先锋乒羽,https://m.345iptv.com/?act=play&tid=tv&id=103
金鹰纪实,https://m.345iptv.com/?act=play&tid=tv&id=107
金鹰卡通,https://m.345iptv.com/?act=play&tid=tv&id=106

广东,#genre#
parse=1
广州综合,https://m.345iptv.com/?act=play&tid=tv&id=117
广州新闻,https://m.345iptv.com/?act=play&tid=tv&id=118
广州影视,https://m.345iptv.com/?act=play&tid=tv&id=119
广州法治,https://m.345iptv.com/?act=play&tid=tv&id=120
广州南国都市,https://m.345iptv.com/?act=play&tid=tv&id=121
广州竞赛,https://m.345iptv.com/?act=play&tid=tv&id=122
广东珠江,https://m.345iptv.com/?act=play&tid=tv&id=9
